ID,ServiceRequest_ID,Author_ID,CommentText,CommentType,IsInternal,AttachmentURL,createdAt,createdBy,modifiedAt,modifiedBy
550e8400-e29b-41d4-a716-446655480001,550e8400-e29b-41d4-a716-446655460001,550e8400-e29b-41d4-a716-446655450001,Issue reported by employee - laptop fails to boot after latest Windows update,General,false,https://files.company.com/docs/issue1.png,2025-08-01T09:05:00Z,admin,2025-08-01T09:05:00Z,admin
550e8400-e29b-41d4-a716-446655480002,550e8400-e29b-41d4-a716-446655460001,550e8400-e29b-41d4-a716-446655450005,Assigned to IT Support team. Diagnostic scheduled for today afternoon.,Update,true,,2025-08-01T10:15:00Z,admin,2025-08-01T10:15:00Z,admin
550e8400-e29b-41d4-a716-446655480003,550e8400-e29b-41d4-a716-446655460002,550e8400-e29b-41d4-a716-446655450002,Requesting VS Code installation for development work,General,false,,2025-08-02T09:05:00Z,admin,2025-08-02T09:05:00Z,admin
550e8400-e29b-41d4-a716-446655480004,550e8400-e29b-41d4-a716-446655460002,550e8400-e29b-41d4-a716-446655450006,VS Code installed successfully. Version 1.85 deployed.,Resolution,true,,2025-08-02T11:35:00Z,admin,2025-08-02T11:35:00Z,admin
550e8400-e29b-41d4-a716-446655480005,550e8400-e29b-41d4-a716-446655460003,550e8400-e29b-41d4-a716-446655450003,VPN completely down since 8am. Cannot access any internal systems.,General,false,,2025-08-03T08:05:00Z,admin,2025-08-03T08:05:00Z,admin
550e8400-e29b-41d4-a716-446655480006,550e8400-e29b-41d4-a716-446655460003,550e8400-e29b-41d4-a716-446655450007,🔺 Escalated to L2 — Assigned to Network Team | Reason: ISP level outage confirmed,ESCALATION,true,,2025-08-03T11:00:00Z,networkadmin,2025-08-03T11:00:00Z,networkadmin
550e8400-e29b-41d4-a716-446655480007,550e8400-e29b-41d4-a716-446655460004,550e8400-e29b-41d4-a716-446655450004,Printer not responding to print jobs since morning,General,false,,2025-08-04T09:05:00Z,admin,2025-08-04T09:05:00Z,admin
550e8400-e29b-41d4-a716-446655480008,550e8400-e29b-41d4-a716-446655460004,550e8400-e29b-41d4-a716-446655450008,Found loose USB cable at back of printer. Reconnected and tested — working now.,Resolution,true,,2025-08-04T10:35:00Z,admin,2025-08-04T10:35:00Z,admin
550e8400-e29b-41d4-a716-446655480009,550e8400-e29b-41d4-a716-446655460005,550e8400-e29b-41d4-a716-446655450005,Need read access to the monthly reporting database for quarterly analysis,General,false,,2025-08-05T09:05:00Z,admin,2025-08-05T09:05:00Z,admin
550e8400-e29b-41d4-a716-446655480010,550e8400-e29b-41d4-a716-446655460005,550e8400-e29b-41d4-a716-446655450009,Read-only access granted to reporting_db schema. Credentials sent via secure email.,Resolution,true,,2025-08-05T13:05:00Z,admin,2025-08-05T13:05:00Z,admin