ID,TicketNumber,RequestType,Title,Description,Category,SubCategory,Priority,Status,Reporter_ID,AssignedTo_ID,AssignedTeam,RelatedAsset_ID,SLADeadline,FirstResponseAt,ResponseDue,ResolvedAt,ClosedAt,SLABreached,EscalationLevel,EscalationReason,EscalatedAt,ResolutionSummary,RootCause,WorkaroundProvided,CustomerRating,CustomerFeedback,Impact,Urgency,ReopenedCount,IsVIPUser,SourceChannel,createdAt,createdBy,modifiedAt,modifiedBy
550e8400-e29b-41d4-a716-446655460001,TKT-2026-001,INCIDENT,Laptop Not Booting,System fails to start after update,Hardware,Laptop,HIGH,OPEN,550e8400-e29b-41d4-a716-446655450001,550e8400-e29b-41d4-a716-446655450005,IT Support,550e8400-e29b-41d4-a716-446655440001,2025-08-01T18:00:00Z,2025-08-01T10:00:00Z,2025-08-01T14:00:00Z,,,false,,,,Pending diagnosis,Power issue,true,4,Good support,High,High,0,true,Portal,2025-08-01T09:00:00Z,admin,2025-08-01T10:00:00Z,admin
550e8400-e29b-41d4-a716-446655460002,TKT-2026-002,SERVICE_REQUEST,Software Installation,Need VS Code installation,Software,IDE,MEDIUM,RESOLVED,550e8400-e29b-41d4-a716-446655450002,550e8400-e29b-41d4-a716-446655450006,Desktop Support,550e8400-e29b-41d4-a716-446655440002,2025-08-02T18:00:00Z,2025-08-02T09:30:00Z,2025-08-02T13:00:00Z,2025-08-02T11:30:00Z,2025-08-02T12:00:00Z,false,,,,Installed successfully,Missing software,false,5,Quick resolution,Medium,Medium,0,false,Email,2025-08-02T09:00:00Z,admin,2025-08-02T12:00:00Z,admin
550e8400-e29b-41d4-a716-446655460003,TKT-2026-003,INCIDENT,VPN Connection Failed,Unable to connect to company VPN,Network,VPN,CRITICAL,IN_PROGRESS,550e8400-e29b-41d4-a716-446655450003,550e8400-e29b-41d4-a716-446655450007,Network Team,550e8400-e29b-41d4-a716-446655440003,2025-08-03T16:00:00Z,2025-08-03T08:30:00Z,2025-08-03T10:00:00Z,,,true,L2,No response from ISP,2025-08-03T11:00:00Z,Under investigation,ISP outage,true,3,Issue still ongoing,High,Critical,1,true,Portal,2025-08-03T08:00:00Z,admin,2025-08-03T11:30:00Z,networkadmin
550e8400-e29b-41d4-a716-446655460004,TKT-2026-004,INCIDENT,Printer Offline,Office printer not responding,Hardware,Printer,LOW,CLOSED,550e8400-e29b-41d4-a716-446655450004,550e8400-e29b-41d4-a716-446655450008,Admin Support,550e8400-e29b-41d4-a716-446655440010,2025-08-04T18:00:00Z,2025-08-04T09:15:00Z,2025-08-04T12:00:00Z,2025-08-04T10:30:00Z,2025-08-04T11:00:00Z,false,,,,Printer restarted,Loose cable,true,5,Resolved quickly,Low,Low,0,false,Phone,2025-08-04T09:00:00Z,admin,2025-08-04T11:00:00Z,admin
550e8400-e29b-41d4-a716-446655460005,TKT-2026-005,ACCESS_REQUEST,Database Access Request,Need access to reporting DB,Access,Database,MEDIUM,RESOLVED,550e8400-e29b-41d4-a716-446655450005,550e8400-e29b-41d4-a716-446655450009,DB Team,550e8400-e29b-41d4-a716-446655440005,2025-08-05T18:00:00Z,2025-08-05T09:45:00Z,2025-08-05T14:00:00Z,2025-08-05T13:00:00Z,2025-08-05T13:30:00Z,false,,,,Access granted,Permission missing,false,4,Satisfied,Medium,Medium,0,false,Portal,2025-08-05T09:00:00Z,admin,2025-08-05T13:30:00Z,admin
550e8400-e29b-41d4-a716-446655460006,TKT-2026-006,INCIDENT,Email Not Syncing,Outlook emails delayed,Software,Email,HIGH,IN_PROGRESS,550e8400-e29b-41d4-a716-446655450006,550e8400-e29b-41d4-a716-446655450010,Messaging Team,550e8400-e29b-41d4-a716-446655440006,2025-08-06T17:00:00Z,2025-08-06T08:20:00Z,2025-08-06T12:00:00Z,,,false,,,,Mailbox repair running,Corrupt OST file,true,3,Waiting for fix,High,High,0,false,Email,2025-08-06T08:00:00Z,admin,2025-08-06T10:00:00Z,admin
550e8400-e29b-41d4-a716-446655460007,TKT-2026-007,SERVICE_REQUEST,RAM Upgrade,Need memory upgrade for VM usage,Hardware,Memory,MEDIUM,OPEN,550e8400-e29b-41d4-a716-446655450007,550e8400-e29b-41d4-a716-446655450005,IT Support,550e8400-e29b-41d4-a716-446655440007,2025-08-07T18:00:00Z,2025-08-07T09:10:00Z,2025-08-07T13:00:00Z,,,false,,,,Awaiting approval,Insufficient RAM,false,,Pending,Medium,Medium,0,false,Portal,2025-08-07T09:00:00Z,admin,2025-08-07T09:30:00Z,admin
550e8400-e29b-41d4-a716-446655460008,TKT-2026-008,INCIDENT,System Running Slow,Device performance degraded,Performance,Laptop,MEDIUM,RESOLVED,550e8400-e29b-41d4-a716-446655450008,550e8400-e29b-41d4-a716-446655450006,Desktop Support,550e8400-e29b-41d4-a716-446655440008,2025-08-08T18:00:00Z,2025-08-08T09:25:00Z,2025-08-08T13:00:00Z,2025-08-08T12:00:00Z,2025-08-08T12:15:00Z,false,,,,Disk cleanup completed,Low storage,true,4,Performance improved,Medium,Medium,0,false,Chat,2025-08-08T09:00:00Z,admin,2025-08-08T12:15:00Z,admin
550e8400-e29b-41d4-a716-446655460009,TKT-2026-009,INCIDENT,WiFi Connectivity Issue,Frequent disconnections from WiFi,Network,Wireless,HIGH,ESCALATED,550e8400-e29b-41d4-a716-446655450009,550e8400-e29b-41d4-a716-446655450007,Network Team,550e8400-e29b-41d4-a716-446655440009,2025-08-09T16:00:00Z,2025-08-09T08:10:00Z,2025-08-09T10:00:00Z,,,true,L2,Multiple users affected,2025-08-09T11:30:00Z,Router firmware update planned,Old firmware,true,2,Still unstable,High,High,2,true,Portal,2025-08-09T08:00:00Z,admin,2025-08-09T12:00:00Z,networkadmin
550e8400-e29b-41d4-a716-446655460010,TKT-2026-010,SERVICE_REQUEST,New Mouse Request,Wireless mouse not working properly,Hardware,Peripheral,LOW,CLOSED,550e8400-e29b-41d4-a716-446655450010,550e8400-e29b-41d4-a716-446655450008,Admin Support,550e8400-e29b-41d4-a716-446655440010,2025-08-10T18:00:00Z,2025-08-10T09:00:00Z,2025-08-10T12:00:00Z,2025-08-10T10:00:00Z,2025-08-10T10:30:00Z,false,,,,New mouse provided,Hardware failure,true,5,Excellent support,Low,Low,0,false,Phone,2025-08-10T09:00:00Z,admin,2025-08-10T10:30:00Z,admin